EMRA_ECOLI,0.06,0.61,0.48,0.5,0.49,0.92,0.37,im
AAS_ECOLI,0.44,0.52,0.48,0.5,0.43,0.47,0.54,im
AMPE_ECOLI,0.63,0.47,0.48,0.5,0.51,0.82,0.84,im
ARAE_ECOLI,0.23,0.48,0.48,0.5,0.59,0.88,0.89,im
ARAH_ECOLI,0.34,0.49,0.48,0.5,0.58,0.85,0.8,im
AROP_ECOLI,0.43,0.4,0.48,0.5,0.58,0.75,0.78,im
ATKB_ECOLI,0.46,0.61,0.48,0.5,0.48,0.86,0.87,im
ATP6_ECOLI,0.27,0.35,0.48,0.5,0.51,0.77,0.79,im
BETT_ECOLI,0.52,0.39,0.48,0.5,0.65,0.71,0.73,im
CODB_ECOLI,0.29,0.47,0.48,0.5,0.71,0.65,0.69,im
CYDA_ECOLI,0.55,0.47,0.48,0.5,0.57,0.78,0.8,im
CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63,im
CYOD_ECOLI,0.4,0.5,0.48,0.5,0.65,0.82,0.84,im
DCTA_ECOLI,0.73,0.36,0.48,0.5,0.53,0.91,0.92,im
DHG_ECOLI,0.84,0.44,0.48,0.5,0.48,0.71,0.74,im
DHSC_ECOLI,0.48,0.45,0.48,0.5,0.6,0.78,0.8,im
DHSD_ECOLI,0.54,0.49,0.48,0.5,0.4,0.87,0.88,im
DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88,im
DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92,im
ENVZ_ECOLI,0.72,0.46,0.48,0.5,0.51,0.66,0.7,im
EXBB_ECOLI,0.47,0.55,0.48,0.5,0.58,0.71,0.75,im
FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8,im
FRDD_ECOLI,0.64,0.58,0.48,0.5,0.48,0.78,0.73,im
FTSW_ECOLI,0.54,0.57,0.48,0.5,0.56,0.81,0.83,im
GABP_ECOLI,0.47,0.59,0.48,0.5,0.52,0.76,0.79,im
GALP_ECOLI,0.63,0.5,0.48,0.5,0.59,0.85,0.86,im
GLNP_ECOLI,0.49,0.42,0.48,0.5,0.53,0.79,0.81,im
GLPT_ECOLI,0.31,0.5,0.48,0.5,0.57,0.84,0.85,im
GLTP_ECOLI,0.74,0.44,0.48,0.5,0.55,0.88,0.89,im
KDGL_ECOLI,0.33,0.45,0.48,0.5,0.45,0.88,0.89,im
KGTP_ECOLI,0.45,0.4,0.48,0.5,0.61,0.74,0.77,im
LACY_ECOLI,0.71,0.4,0.48,0.5,0.71,0.7,0.74,im
LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69,im
LLDP_ECOLI,0.66,0.53,0.48,0.5,0.59,0.66,0.66,im
LNT_ECOLI,0.6,0.61,0.48,0.5,0.54,0.67,0.71,im
LSPA_ECOLI,0.83,0.37,0.48,0.5,0.61,0.71,0.74,im
