FADL_ECOLI,0.78,0.68,0.48,0.5,0.83,0.4,0.29,om
FHUA_ECOLI,0.63,0.69,0.48,0.5,0.65,0.41,0.28,om
LAMB_ECOLI,0.67,0.88,0.48,0.5,0.73,0.5,0.25,om
NFRA_ECOLI,0.61,0.75,0.48,0.5,0.51,0.33,0.33,om
NMPC_ECOLI,0.67,0.84,0.48,0.5,0.74,0.54,0.37,om
OMPA_ECOLI,0.74,0.9,0.48,0.5,0.57,0.53,0.29,om
OMPC_ECOLI,0.73,0.84,0.48,0.5,0.86,0.58,0.29,om
OMPF_ECOLI,0.75,0.76,0.48,0.5,0.83,0.57,0.3,om
OMPX_ECOLI,0.77,0.57,0.48,0.5,0.88,0.53,0.2,om
PHOE_ECOLI,0.74,0.78,0.48,0.5,0.75,0.54,0.15,om
TSX_ECOLI,0.68,0.76,0.48,0.5,0.84,0.45,0.27,om
BTUB_ECOLI,0.56,0.68,0.48,0.5,0.77,0.36,0.45,om
CIRA_ECOLI,0.65,0.51,0.48,0.5,0.66,0.54,0.33,om
FECA_ECOLI,0.52,0.81,0.48,0.5,0.72,0.38,0.38,om
FEPA_ECOLI,0.64,0.57,0.48,0.5,0.7,0.33,0.26,om
FHUE_ECOLI,0.6,0.76,1.0,0.5,0.77,0.59,0.52,om
OMPP_ECOLI,0.69,0.59,0.48,0.5,0.77,0.39,0.21,om
OMPT_ECOLI,0.63,0.49,0.48,0.5,0.79,0.45,0.28,om
TOLC_ECOLI,0.71,0.71,0.48,0.5,0.68,0.43,0.36,om
PA1_ECOLI,0.68,0.63,0.48,0.5,0.73,0.4,0.3,om
MULI_ECOLI,0.77,0.57,1.0,0.5,0.37,0.54,0.01,omL
NLPB_ECOLI,0.66,0.49,1.0,0.5,0.54,0.56,0.36,omL
NLPE_ECOLI,0.71,0.46,1.0,0.5,0.52,0.59,0.3,omL
PAL_ECOLI,0.67,0.55,1.0,0.5,0.66,0.58,0.16,omL
SLP_ECOLI,0.68,0.49,1.0,0.5,0.62,0.55,0.28,omL
